-O0,4,1.34099,2.56
-O0,8,2.21697,2.84444
-O0,16,3.53303,4.096
-O0,32,4.14344,4.35745
-O0,64,3.75583,4.54543
-O0,128,3.91726,4.07056
-O0,256,3.26779,3.4067
-O0,512,3.09299,3.22588
-O0,1024,2.5713,2.76046
-O0,2048,2.25793,2.33878
-O0,4096,1.89933,1.99771
-O1,4,3.88322,6.4
-O1,8,10.2706,17.0667
-O1,16,16.7989,25.6
-O1,32,25.1066,30.3407
-O1,64,30.0933,33.099
-O1,128,4.38112,4.92585
-O1,256,3.51823,3.62358
-O1,512,2.91128,3.22608
-O1,1024,1.69702,1.83139
-O1,2048,1.60024,1.62744
-O1,4096,1.36651,1.39242
-O2,4,4.11675,6.4
-O2,8,7.31817,12.8
-O2,16,13.0378,25.6
-O2,32,25.467,30.3407
-O2,64,27.3844,34.1333
-O2,128,5.02313,8.74396
-O2,256,3.55177,3.9135
-O2,512,2.91097,3.50089
-O2,1024,1.68511,1.90931
-O2,2048,1.57182,1.74595
-O2,4096,1.33571,1.39841
-O3,4,3.79606,6.4
-O3,8,7.92841,12.8
-O3,16,9.75638,14.6286
-O3,32,14.0481,16.7184
-O3,64,16.1414,33.099
-O3,128,4.55819,8.60674
-O3,256,3.42822,3.78277
-O3,512,2.8917,3.27219
-O3,1024,1.62843,1.74725
-O3,2048,1.37336,1.43068
-O3,4096,1.37386,1.40969
