2,2,1,0.0049682
2,2,2,0.00519103
4,2,1,0.0196541
4,2,2,0.0214144
4,4,1,0.0207684
4,4,2,0.0203583
4,4,4,0.0207297
8,2,1,0.0840336
8,2,2,0.0545256
8,4,1,0.0736377
8,4,2,0.0810373
8,4,4,0.0840336
8,8,1,0.0678426
8,8,2,0.0759878
8,8,4,0.0781136
8,8,8,0.0791139
16,2,1,0.320513
16,2,2,0.3125
16,4,1,0.304414
16,4,2,0.35461
16,4,4,0.316456
16,8,1,0.296736
16,8,2,0.334501
16,8,4,0.311042
16,8,8,0.327835
16,16,1,0.301205
16,16,2,0.321608
16,16,4,0.321027
16,16,8,0.310078
16,16,16,0.3541
32,2,1,1.4042
32,2,2,1.39373
32,4,1,1.33779
32,4,2,1.32034
32,4,4,1.48699
32,8,1,1.23463
32,8,2,1.3468
32,8,4,1.25589
32,8,8,1.36054
32,16,1,1.03501
32,16,2,1.03093
32,16,4,1.2966
32,16,8,1.30506
32,16,16,1.35593
32,32,1,0.878156
32,32,2,1.03761
32,32,4,1.08254
32,32,8,1.29032
32,32,16,1.32231
32,32,32,1.26582
64,2,1,4.28452
64,2,2,5.02355
64,4,1,5.47945
64,4,2,5.97015
64,4,4,5.36913
64,8,1,4.09912
64,8,2,5.6239
64,8,4,5.78662
64,8,8,5.77617
64,16,1,4.41379
64,16,2,5.01666
64,16,4,0.57215
64,16,8,0.594571
64,16,16,5.03145
64,32,1,3.32748
64,32,2,4.5584
64,32,4,4.57143
64,32,8,0.611741
64,32,16,5.4315
64,32,32,4.91551
64,64,1,0.643596
64,64,2,3.25203
64,64,4,0.612557
64,64,8,3.9312
64,64,16,3.51274
128,2,1,14.0351
128,2,2,16.1457
128,4,1,17.7778
128,4,2,19.133
128,4,4,22.2609
128,8,1,19.8787
128,8,2,18.9122
128,8,4,20.8469
128,8,8,21.6869
128,16,1,17.76
128,16,2,14.3177
128,16,4,21.6949
128,16,8,22.2997
128,16,16,21.9884
128,32,1,13.7487
128,32,2,16.9761
128,32,4,18.0831
128,32,8,22.3788
128,32,16,21.2625
128,32,32,17.8025
128,64,1,7.48101
128,64,2,13.8979
128,64,4,14.7179
128,64,8,15.6098
128,64,16,14.3207
128,128,1,4.24122
128,128,2,6.3096
128,128,4,2.55322
128,128,8,6.25
256,2,1,25.677
256,2,2,30.622
256,4,1,54.1799
256,4,2,35.6546
256,4,4,67.1035
256,8,1,61.4646
256,8,2,75.9644
256,8,4,49.757
256,8,8,49.9025
256,16,1,71.1111
256,16,2,73.4577
256,16,4,92.2523
256,16,8,84.6281
256,16,16,82.4477
256,32,1,18.7903
256,32,2,28.1183
256,32,4,57.7227
256,32,8,55.6522
256,32,16,56.5121
256,32,32,56.5746
256,64,1,20.3515
256,64,2,51.665
256,64,4,58.5143
256,64,8,51.0978
256,64,16,56.4498
256,128,1,16.1514
256,128,2,25.2217
256,128,4,25.1968
256,128,8,24.9634
256,256,1,6.74483
256,256,2,6.91518
256,256,4,6.9012
512,2,1,28.26
512,2,2,34.1504
512,4,1,69.7785
512,4,2,41.3816
512,4,4,113.212
512,8,1,122.782
